0 11 -nan(ind) -nan(ind) 21 -nan(ind) -nan(ind) 12 -nan(ind) -nan(ind) 22 -nan(ind) -nan(ind) 13 -nan(ind) -nan(ind) 23 -nan(ind) -nan(ind) 
100 11 1.309238 0.234988 21 1.109107 0.177524 12 4.380000 0.935000 22 4.655000 1.060000 13 2.765000 0.680000 23 3.240000 0.720000 
200 11 1.275119 0.245536 21 1.105161 0.194137 12 4.425000 0.907500 22 5.285000 1.065000 13 3.065000 0.750000 23 3.025000 0.707500 
300 11 1.275389 0.222607 21 1.097548 0.199321 12 4.653333 1.026667 22 4.756667 1.033333 13 2.683333 0.625000 23 3.030000 0.716667 
400 11 1.273634 0.214414 21 1.080435 0.189604 12 4.950000 1.060000 22 4.732500 1.016250 13 2.972500 0.713750 23 2.965000 0.658750 
500 11 1.260288 0.218705 21 1.074331 0.184674 12 4.856000 1.049000 22 4.687000 1.078000 13 3.006000 0.666000 23 2.954000 0.701000 
600 11 1.249355 0.217810 21 1.083488 0.176298 12 4.994167 1.051667 22 4.957500 1.016667 13 2.934167 0.744167 23 3.045833 0.659167 
700 11 1.264566 0.203605 21 1.106308 0.195338 12 4.898571 0.996429 22 4.867143 0.967857 13 2.831429 0.650714 23 2.981429 0.636429 
800 11 1.240068 0.209601 21 1.105671 0.184394 12 4.863750 1.029375 22 4.754375 1.040000 13 2.884375 0.681250 23 2.903750 0.615625 
900 11 1.263812 0.220048 21 1.122635 0.177283 12 4.688333 1.041667 22 4.821667 1.003333 13 2.743333 0.708333 23 2.975000 0.672778 
1000 11 1.267000 0.219855 21 1.097260 0.183355 12 4.640000 1.002500 22 5.005500 1.060000 13 2.787000 0.683500 23 2.831500 0.646500 
1100 11 1.261300 0.211065 21 1.088168 0.176320 12 4.706818 0.985000 22 4.853636 1.043182 13 2.825909 0.687273 23 2.903636 0.685000 
1200 11 1.234802 0.218148 21 1.131247 0.189075 12 4.921667 1.027083 22 4.820000 1.017500 13 2.954583 0.709167 23 2.959167 0.653750 
1300 11 1.259168 0.210674 21 1.076603 0.181738 12 4.960000 1.030769 22 4.724231 0.990769 13 3.018077 0.725385 23 2.864231 0.691923 
1400 11 1.247024 0.226259 21 1.103060 0.195726 12 4.713214 0.990000 22 4.783929 0.991786 13 2.917500 0.702143 23 2.925000 0.650357 
